card_id,name,rarity,type,cost,attribute,power,counter,color,block,feature,effect,set,image_url
OP10-006,Caesar Clown,UC,CHARACTER,7,Special,7000,-,Red,3,Scientist/Punk Hazard,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 [Smiley] and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 [Smiley] from your hand.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-006.png?250425
OP10-007,Ceaser Soldier,UC,CHARACTER,3,Wisdom,4000,1000,Red,3,Punk Hazard,[On Play] Play up to 1 {Punk Hazard} type Character card with a cost of 2 or less from your hand.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-007.png?250425
OP10-008,Scotch,C,CHARACTER,2,Ranged,1000,1000,Red,3,Punk Hazard,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] If you don't have [Rock], play up to 1 [Rock] from your hand.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-008.png?250425
OP10-009,Smiley,R,CHARACTER,5,Special,6000,1000,Red,3,Biological Weapon/Punk Hazard,"[On Play] If your Leader has the {Punk Hazard} type, give up to 1 of your opponent's Characters −3000 power during this turn.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-009.png?250425
OP10-010,Chadros.Higelyges (Brownbeard),C,CHARACTER,3,Slash,5000,-,Red,3,Punk Hazard/Brownbeard Pirates,"[When Attacking] If you have 1 or less Characters with 6000 power or more, this Character gains +1000 power during this turn.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-010.png?250425
OP10-011,Tony Tony.Chopper,R,CHARACTER,4,Strike,4000,2000,Red,3,Punk Hazard/Straw Hat Crew,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[Opponent's Turn] This Character gains +2000 power.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-011.png?250425
OP10-012,Dragon Number Thirteen,C,CHARACTER,2,Special,2000,1000,Red,3,Biological Weapon/Punk Hazard,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-012.png?250425
OP10-013,Nami,C,CHARACTER,5,Strike,7000,1000,Red,3,Punk Hazard/Straw Hat Crew,-,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-013.png?250425
OP10-014,Franky,C,CHARACTER,6,Strike,8000,1000,Red,3,Animal/Punk Hazard/Straw Hat Crew,-,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-014.png?250425
OP10-015,Mocha,UC,CHARACTER,3,Strike,3000,2000,Red,3,Punk Hazard,[On Play] Give up to 1 of your opponent's Characters −1000 power during this turn.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-015.png?250425
OP10-016,Monet,SR,CHARACTER,2,Special,3000,1000,Red,3,Punk Hazard/Donquixote Pirates,"[Activate: Main] You may rest this Character: Give up to 2 rested DON!! cards to your Leader or 1 of your Characters. Then, give up to 1 of your opponent's Characters −1000 power during this turn.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-016.png?250425
OP10-016,Monet,SR,CHARACTER,2,Special,3000,1000,Red,3,Punk Hazard/Donquixote Pirates,"[Activate: Main] You may rest this Character: Give up to 2 rested DON!! cards to your Leader or 1 of your Characters. Then, give up to 1 of your opponent's Characters −1000 power during this turn.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-016_p1.png?250425
OP10-017,Rock,C,CHARACTER,2,Ranged,3000,1000,Red,3,Punk Hazard,"[On Play] If you don't have [Scotch], play up to 1 [Scotch] from your hand.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-017.png?250425
OP10-018,Ten-Layer Igloo,C,EVENT,2,,-,-,Red,3,Punk Hazard/Donquixote Pirates,"[Counter] Up to 1 of your Leader or Character cards gains +3000 power during this battle. Then, give up to 1 of your opponent's Leader or Character cards −2000 power during this turn.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-018.png?250425
OP10-019,Divine Departure,R,EVENT,1,,-,-,Red,3,The Four Emperors/Red-Haired Pirates,[Main] You may rest 5 of your DON!! cards: K.O. up to 1 of your opponent's Characters with 8000 power or less.[Counter] Up to 1 of your Leader gains +3000 power during this battle.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-019.png?250425
OP10-019,Divine Departure,R,EVENT,1,,-,-,Red,3,The Four Emperors/Red-Haired Pirates,[Main] You may rest 5 of your DON!! cards: K.O. up to 1 of your opponent's Characters with 8000 power or less.[Counter] Up to 1 of your Leader gains +3000 power during this battle.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-019_p1.png?250425
OP10-020,Gum-Gum UFO,UC,EVENT,2,,-,-,Red,3,Punk Hazard/Straw Hat Crew,"[Main] Give up to 1 of your opponent's Characters −4000 power during this turn. Then, if you have 2 or less Life cards, up to 1 of your Leader or Character cards gains +1000 power during this turn.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-020.png?250425
OP10-021,Punk Hazard,C,STAGE,1,,-,-,Red,3,Punk Hazard,"[Activate: Main] You may rest this Stage: If your Leader is [Caesar Clown], give up to 1 rested DON!! card to your Leader or 1 of your Characters.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-021.png?250425
OP10-022,Trafalgar Law,L,LEADER,Life4,Slash,5000,-,Green/Yellow,3,Dressrosa/Supernovas/Heart Pirates,"[DON!! x1] [Activate: Main] [Once Per Turn] If the total cost of your Characters is 5 or more, you may return 1 of your Characters to the owner's hand: Reveal 1 card from the top of your Life cards. If that card is a {Supernovas} type Character card with a cost of 5 or less, you may play that card.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-022.png?250425
OP10-022,Trafalgar Law,L,LEADER,Life4,Slash,5000,-,Green/Yellow,3,Dressrosa/Supernovas/Heart Pirates,"[DON!! x1] [Activate: Main] [Once Per Turn] If the total cost of your Characters is 5 or more, you may return 1 of your Characters to the owner's hand: Reveal 1 card from the top of your Life cards. If that card is a {Supernovas} type Character card with a cost of 5 or less, you may play that card.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-022_p1.png?250425
OP10-023,Issho,C,CHARACTER,5,Slash,6000,1000,Green,3,Dressrosa/Navy,"[On Play] If your Leader has the {Navy} type, rest up to 2 of your opponent's Characters with a cost of 5 or less.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-023.png?250425
OP10-024,Edward.Newgate,C,CHARACTER,5,Special,6000,1000,Green,3,ODYSSEY/The Four Emperors/Whitebeard Pirates,"[On Play] If you have 2 or more rested Characters, rest up to 1 of your opponent's Characters with a cost of 5 or less. Then, K.O. up to 1 of your opponent's rested Characters with a cost of 3 or less.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-024.png?250425
OP10-025,Enel,R,CHARACTER,5,Special,6000,1000,Green,3,ODYSSEY/Sky Island,"[On Play] If you have 2 or more rested Characters, draw 3 cards and trash 2 cards from your hand.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-025.png?250425
OP10-026,Kin'emon,C,CHARACTER,2,Slash,1000,1000,Green,3,Punk Hazard/Land of Wano/The Akazaya Nine,[Activate: Main] You may place this Character and 1 [Kin'emon] with 0 power from your trash at the bottom of your deck in any order: Play up to 1 [Kin'emon] with a cost of 6 from your hand.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-026.png?250425
OP10-027,Kin'emon,UC,CHARACTER,2,Slash,-,2000,Green,3,Punk Hazard/Land of Wano/The Akazaya Nine,[Activate: Main] You may place this Character and 1 [Kin'emon] with 1000 power from your trash at the bottom of your deck in any order: Play up to 1 [Kin'emon] with a cost of 6 from your hand.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-027.png?250425
OP10-028,Kouzuki Momonosuke,UC,CHARACTER,1,Special,1000,1000,Green,3,Punk Hazard/Land of Wano/Kouzuki Clan,"[Activate: Main] You may rest 2 of your DON!! cards and trash this Character: Look at 5 cards from the top of your deck; reveal up to 2 {The Akazaya Nine} type cards and add them to your hand. Then, place the rest at the bottom of your deck in any order.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-028.png?250425
OP10-029,Dracule Mihawk,R,CHARACTER,5,Slash,6000,1000,Green,3,ODYSSEY/The Seven Warlords of the Sea,"[On Play] If you have 2 or more rested Characters, set up to 1 of your rested {ODYSSEY} type Characters with a cost of 5 or less as active.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-029.png?250425
OP10-030,Smoker,SR,CHARACTER,5,Slash,7000,-,Green,3,Punk Hazard/Navy,"[Banish] (When this card deals damage, the target card is trashed without activating its Trigger.)[Activate: Main] Set up to 1 of your DON!! cards as active. Then, you cannot set DON!! cards as active using Character effects during this turn.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-030.png?250425
OP10-030,Smoker,SR,CHARACTER,5,Slash,7000,-,Green,3,Punk Hazard/Navy,"[Banish] (When this card deals damage, the target card is trashed without activating its Trigger.)[Activate: Main] Set up to 1 of your DON!! cards as active. Then, you cannot set DON!! cards as active using Character effects during this turn.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-030_p1.png?250425
OP10-031,Sengoku,C,CHARACTER,5,Wisdom,7000,1000,Green,3,Dressrosa/Navy,-,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-031.png?250425
OP10-032,Tashigi,SR,CHARACTER,3,Special,4000,2000,Green,3,Punk Hazard/Navy,"If you have a green Character other than [Tashigi] that would be removed from the field by your opponent's effect, you may rest this Character instead.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-032.png?250425
OP10-032,Tashigi,SR,CHARACTER,3,Special,4000,2000,Green,3,Punk Hazard/Navy,"If you have a green Character other than [Tashigi] that would be removed from the field by your opponent's effect, you may rest this Character instead.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-032_p1.png?250425
OP10-033,Nami,UC,CHARACTER,2,Special,2000,2000,Green,3,ODYSSEY/Straw Hat Crew,"[On Play] If you have 2 or more rested {ODYSSEY} type Characters, up to 1 of your opponent's rested DON!! cards will not become active in your opponent's next Refresh Phase.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-033.png?250425
OP10-034,Franky,C,CHARACTER,4,Strike,5000,1000,Green,3,ODYSSEY/Straw Hat Crew,"[Once Per Turn] If this Character would be K.O.'d in battle, you may add 1 card from the top of your Life cards to your hand instead.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-034.png?250425
OP10-035,Brook,C,CHARACTER,3,Slash,5000,-,Green,3,ODYSSEY/Straw Hat Crew,[On K.O.] Rest up to 1 of your opponent's Leader or Character cards with a cost of 5 or less.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-035.png?250425
OP10-036,Perona,C,CHARACTER,4,Special,5000,1000,Green,3,ODYSSEY/Muggy Kingdom/Thriller Bark Pirates,"[Your Turn] [Once Per Turn] If a Character is rested by your effect, set up to 1 of your DON!! cards as active.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-036.png?250425
OP10-037,Lim,R,CHARACTER,1,Wisdom,-,1000,Green,3,ODYSSEY,"[Once Per Turn] If this Character would be removed from the field by your opponent's effect, you may rest 1 of your {ODYSSEY} type Characters instead.[End of Your Turn] Set up to 1 of your {ODYSSEY} type Characters as active.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-037.png?250425
OP10-037,Lim,R,CHARACTER,1,Wisdom,-,1000,Green,3,ODYSSEY,"[Once Per Turn] If this Character would be removed from the field by your opponent's effect, you may rest 1 of your {ODYSSEY} type Characters instead.[End of Your Turn] Set up to 1 of your {ODYSSEY} type Characters as active.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-037_p1.png?250425
OP10-038,Roronoa Zoro,C,CHARACTER,5,Slash,6000,1000,Green,3,ODYSSEY/Supernovas/Straw Hat Crew,"[Opponent's Turn] If you have 2 or more rested Characters, this Character gains +2000 power.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-038.png?250425
OP10-039,Gum-Gum Dragon Fire Pistol Twister Star,UC,EVENT,3,,-,-,Green,3,ODYSSEY/Supernovas/Straw Hat Crew,"[Main] If your Leader has the {ODYSSEY} type, look at 5 cards from the top of your deck; reveal up to 2 {ODYSSEY} type Character cards and add them to your hand. Then, place the rest at the bottom of your deck in any order.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-039.png?250425
OP10-040,The Weak Do Not Have the Right to Choose How They Die,C,EVENT,5,,-,-,Green,3,Punk Hazard/The Seven Warlords of the Sea/Heart Pirates,[Main]/[Counter] K.O. up to 1 of your opponent's rested Characters with a cost of 7 or less.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-040.png?250425
OP10-041,Radio Knife,R,EVENT,4,,-,-,Green,3,Dressrosa/Supernovas/Heart Pirates,"[Main] Rest up to 1 of your opponent's Characters with a cost of 6 or less. Then, K.O. up to 1 of your opponent's rested Characters with a cost of 5 or less.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-041.png?250425
OP10-042,Usopp,L,LEADER,Life4,Ranged,5000,-,Blue/Black,3,Dressrosa/Straw Hat Crew,"All of your {Dressrosa} type Characters with a cost of 2 or more gain +1 cost.[Opponent's Turn] [Once Per Turn] This effect can be activated when your {Dressrosa} type Character is removed from the field by your opponent's effect or K.O.'d. If you have 5 or less cards in your hand, draw 1 card.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-042.png?250425
OP10-042,Usopp,L,LEADER,Life4,Ranged,5000,-,Blue/Black,3,Dressrosa/Straw Hat Crew,"All of your {Dressrosa} type Characters with a cost of 2 or more gain +1 cost.[Opponent's Turn] [Once Per Turn] This effect can be activated when your {Dressrosa} type Character is removed from the field by your opponent's effect or K.O.'d. If you have 5 or less cards in your hand, draw 1 card.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-042_p1.png?250425
OP10-043,Moocy,C,CHARACTER,2,Strike,2000,2000,Blue,3,Animal/Dressrosa,[On Play] You may rest 1 of your {Dressrosa} type Leader or Stage cards: Up to 1 of your [Monkey.D.Luffy] Characters gains [Banish] during this turn.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-043.png?250425
OP10-044,Cub,UC,CHARACTER,1,Slash,2000,1000,Blue,3,The Tontattas/Dressrosa,[On Play] You may rest 1 of your {Dressrosa} type Leader or Stage cards: Return up to 1 of your opponent's Characters with a cost of 1 or less to the owner's hand.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-044.png?250425
OP10-045,Cavendish,R,CHARACTER,4,Slash,6000,-,Blue,3,Dressrosa/Beautiful Pirates,[When Attacking] [Once Per Turn] Draw 2 cards and trash 1 card from your hand.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-045.png?250425
OP10-045,Cavendish,R,CHARACTER,4,Slash,6000,-,Blue,3,Dressrosa/Beautiful Pirates,[When Attacking] [Once Per Turn] Draw 2 cards and trash 1 card from your hand.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-045_p1.png?250425
OP10-046,Kyros,SR,CHARACTER,7,Slash,9000,-,Blue,3,Dressrosa,[On Play] Return up to 1 Character with a cost of 5 or less to the owner's hand.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-046.png?250425
OP10-046,Kyros,SR,CHARACTER,7,Slash,9000,-,Blue,3,Dressrosa,[On Play] Return up to 1 Character with a cost of 5 or less to the owner's hand.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-046_p1.png?250425
OP10-047,Koala,UC,CHARACTER,2,Strike,3000,1000,Blue,3,Dressrosa/Revolutionary Army,[When Attacking] You may return 1 of your {Revolutionary Army} type Characters with a cost of 3 or more to the owner's hand: This Character gains +3000 power during this turn.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-047.png?250425
OP10-048,Sai,C,CHARACTER,3,Slash,5000,-,Blue,3,Dressrosa/Happosui Army,[On Play] You may rest 1 of your {Dressrosa} type Leader or Stage cards: Return up to 1 of your opponent's Characters with a cost of 1 or less to the owner's hand.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-048.png?250425
OP10-049,Sabo,R,CHARACTER,4,Special,5000,2000,Blue,3,Dressrosa/Revolutionary Army,"If your Character with a base cost of 7 or less other than [Sabo] would be removed from the field by your opponent's effect, you may return this Character to the owner's hand instead.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-049.png?250425
OP10-050,Hajrudin,C,CHARACTER,7,Strike,9000,1000,Blue,3,Giant/Dressrosa/New Giant Pirates,-,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-050.png?250425
OP10-051,Hack,UC,CHARACTER,4,Strike,5000,1000,Blue,3,Fish-Man/Dressrosa/Revolutionary Army,"[DON!! x1] [When Attacking] Look at 3 cards from the top of your deck; reveal up to 1 {Revolutionary Army} type Character card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-051.png?250425
OP10-052,Bartolomeo,C,CHARACTER,5,Special,6000,-,Blue,3,Dressrosa/Barto Club,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] Place up to 1 Character with a cost of 1 or less at the bottom of the owner's deck.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-052.png?250425
OP10-053,Bian,C,CHARACTER,1,Slash,1000,1000,Blue,3,The Tontattas/Dressrosa,"If you have a {The Tontattas} type Character other than [Bian], this Character gains [Blocker].",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-053.png?250425
OP10-054,Blue Gilly,C,CHARACTER,3,Strike,5000,1000,Blue,3,Dressrosa,-,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-054.png?250425
OP10-055,Marco,R,CHARACTER,3,Special,5000,-,Blue,3,Whitebeard Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On K.O.] Return up to 1 of your opponent's Characters with a cost of 4 or less to the owner's hand.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-055.png?250425
OP10-056,Mansherry,UC,CHARACTER,2,Special,-,1000,Blue,3,The Tontattas/Dressrosa,"[On Play] You may rest 1 of your {Dressrosa} type Leader or Stage cards, and return 1 of your {Dressrosa} type Characters with a cost of 4 or more to the owner's hand: Return up to 1 of your opponent's Characters with a cost of 4 or less to the owner's hand.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-056.png?250425
OP10-057,Leo,R,CHARACTER,1,Strike,2000,1000,Blue,3,The Tontattas/Dressrosa,"[On Play] You may rest your Leader or 1 of your Stage cards: If your Leader is [Usopp], look at 5 cards from the top of your deck; reveal up to 2 {Dressrosa} type cards other than [Leo] and add them to your hand. Then, place the rest at the bottom of your deck in any order, and trash 1 card from your hand.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-057.png?250425
OP10-058,Rebecca,SR,CHARACTER,7,Slash,4000,1000,Blue,3,Dressrosa,"[On Play] If there is a Character with a cost of 8 or more, draw 1 card. Then, reveal up to 2 {Dressrosa} type Character cards with a cost of 7 or less other than [Rebecca] from your hand. Play 1 of the revealed cards and play the other card rested if it has a cost of 4 or less.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-058.png?250425
OP10-058,Rebecca,SR,CHARACTER,7,Slash,4000,1000,Blue,3,Dressrosa,"[On Play] If there is a Character with a cost of 8 or more, draw 1 card. Then, reveal up to 2 {Dressrosa} type Character cards with a cost of 7 or less other than [Rebecca] from your hand. Play 1 of the revealed cards and play the other card rested if it has a cost of 4 or less.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-058_p1.png?250425
OP10-059,Fo...llow...Me...and...I...Will...Gui...de...You,R,EVENT,1,,-,-,Blue,3,Dressrosa/Straw Hat Crew,"[Main] Look at 5 cards from the top of your deck; reveal up to 1 {Dressrosa} type Character card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-059.png?250425
OP10-060,Barrier-Barrier Pistol,C,EVENT,5,,-,-,Blue,3,Dressrosa/Barto Club,[Main] Place up to 1 of your opponent's Characters with 6000 power or less at the bottom of the owner's deck.,-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-060.png?250425
OP10-061,Special Long-Range Attack!! Bagworm,UC,EVENT,3,,-,-,Blue,3,Dressrosa/Straw Hat Crew,"[Main] Draw 1 card. Then, return up to 1 of your opponent's Characters with a cost of 2 or less to the owner's hand.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-061.png?250425
OP10-062,Violet,R,CHARACTER,3,Special,4000,1000,Purple,3,Donquixote Pirates,"[Blocker][On K.O.] DON!! −1: If your Leader has the {Donquixote Pirates} type, add up to 1 purple Event from your trash to your hand.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-062.png?250425
OP10-063,Vinsmoke Sanji,R,CHARACTER,1,Strike,2000,1000,Purple,3,Kingdom of GERMA/The Vinsmoke Family,"[On Play] If your Leader's type includes ""GERMA"", look at 5 cards from the top of your deck; reveal up to 1 card with a type including ""GERMA"" and add it to your hand. Then, place the rest at the bottom of your deck in any order.",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-063.png?250425
OP10-064,Clone Soldier,C,CHARACTER,2,Ranged,2000,1000,Purple,3,Kingdom of GERMA,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",-ROYAL BLOOD- [OP-10],https://en.onepiece-cardgame.com/images/cardlist/card/OP10-064.png?250425
